Loc1Key,Loc1Lat,Loc1Lon,BestCMI,BestKey,BestLat,BestLon
65476,-39.525,176.525,0.816864,27686,48.3,-4.3
65477,-39.525,176.575,0.832545,26771,45.3,4.8
65478,-39.525,176.625,0.83867,26771,45.3,4.8
65479,-39.525,176.675,0.839939,27190,47.3,-1.3
65480,-39.525,176.725,0.844103,27190,47.3,-1.3
65481,-39.525,176.775,0.851171,27190,47.3,-1.3
65482,-39.525,176.825,0.871065,27190,47.3,-1.3
65483,-39.525,176.875,0.872112,27190,47.3,-1.3
65484,-39.575,174.075,0.845417,27686,48.3,-4.3
65485,-39.575,174.125,0.842408,27686,48.3,-4.3
65486,-39.575,174.175,0.842398,27686,48.3,-4.3
65487,-39.575,174.225,0.849591,27686,48.3,-4.3
65488,-39.575,174.275,0.853578,27686,48.3,-4.3
65489,-39.575,174.325,0.83869,27686,48.3,-4.3
65490,-39.575,174.375,0.826875,27686,48.3,-4.3
65491,-39.575,174.425,0.816893,28589,53.3,-4.3
65492,-39.575,174.475,0.824376,27016,51.8,-4.3
65493,-39.575,174.525,0.77649,27016,51.8,-4.3
65494,-39.575,174.575,0.754216,27016,51.8,-4.3
65495,-39.575,174.625,0.777758,27016,51.8,-4.3
65496,-39.575,174.675,0.776917,27016,51.8,-4.3
65497,-39.575,174.725,0.818582,27016,51.8,-4.3
65498,-39.575,174.775,0.806034,27016,51.8,-4.3
65499,-39.575,174.825,0.785336,27016,51.8,-4.3
65500,-39.575,174.875,0.764798,27016,51.8,-4.3
65501,-39.575,174.925,0.800559,27016,51.8,-4.3
65502,-39.575,174.975,0.821322,27016,51.8,-4.3
65503,-39.575,175.025,0.812838,27016,51.8,-4.3
65504,-39.575,175.075,0.760987,27016,51.8,-4.3
65505,-39.575,175.125,0.783277,27016,51.8,-4.3
65506,-39.575,175.175,0.816797,27016,51.8,-4.3
65507,-39.575,175.225,0.815065,28589,53.3,-4.3
65508,-39.575,175.275,0.822232,28589,53.3,-4.3
65509,-39.575,175.325,0.836024,28589,53.3,-4.3
65510,-39.575,175.375,0.852125,27686,48.3,-4.3
65511,-39.575,175.425,0.855681,27686,48.3,-4.3
65512,-39.575,175.475,0.857808,27686,48.3,-4.3
65513,-39.575,175.525,0.857889,27686,48.3,-4.3
65514,-39.575,175.575,0.858983,27686,48.3,-4.3
65515,-39.575,175.625,0.860975,27686,48.3,-4.3
65516,-39.575,175.675,0.859522,27686,48.3,-4.3
65517,-39.575,175.725,0.853338,28097,50.8,-2.3
65518,-39.575,175.775,0.880866,28097,50.8,-2.3
65519,-39.575,175.825,0.886609,28097,50.8,-2.3
65520,-39.575,175.875,0.891859,28097,50.8,-2.3
65521,-39.575,175.925,0.895966,28122,50.8,3.8
65522,-39.575,175.975,0.908708,28097,50.8,-2.3
65523,-39.575,176.025,0.886061,28097,50.8,-2.3
65524,-39.575,176.075,0.86992,28097,50.8,-2.3
65525,-39.575,176.125,0.868759,27016,51.8,-4.3
65526,-39.575,176.175,0.872252,27016,51.8,-4.3
65527,-39.575,176.225,0.87044,27016,51.8,-4.3
65528,-39.575,176.275,0.880497,27016,51.8,-4.3
65529,-39.575,176.325,0.866258,27016,51.8,-4.3
65530,-39.575,176.375,0.850803,28417,53.8,-2.3
65531,-39.575,176.425,0.817888,26771,45.3,4.8
65532,-39.575,176.475,0.829957,26771,45.3,4.8
65533,-39.575,176.525,0.843927,26771,45.3,4.8
